0.987,0.987,0.024,0.078,0.059,0.810,0.060,0.680,0.320,0.019
0.980,0.979,0.050,0.146,0.132,0.813,0.107,0.627,0.457,0.049
0.983,0.982,0.043,0.134,0.119,0.820,0.097,0.633,0.447,0.042
0.991,0.993,0.414,0.721,0.271,0.918,0.695,0.297,0.922,0.733
0.943,0.954,0.368,0.616,0.395,0.812,0.563,0.414,0.814,0.564
0.991,0.993,0.413,0.720,0.273,0.917,0.694,0.299,0.920,0.731
0.953,0.963,0.375,0.631,0.381,0.828,0.584,0.401,0.832,0.588
0.877,0.881,0.290,0.470,0.497,0.733,0.382,0.500,0.689,0.373
0.952,0.962,0.374,0.629,0.382,0.826,0.582,0.402,0.829,0.585
0.878,0.881,0.290,0.470,0.497,0.734,0.382,0.500,0.689,0.373
0.872,0.878,0.298,0.479,0.495,0.729,0.391,0.498,0.690,0.383
0.921,0.918,0.194,0.358,0.382,0.756,0.283,0.540,0.622,0.224
0.951,0.961,0.373,0.627,0.384,0.825,0.579,0.404,0.828,0.582
0.919,0.916,0.202,0.370,0.398,0.757,0.293,0.536,0.633,0.237
0.922,0.919,0.194,0.360,0.385,0.758,0.284,0.539,0.625,0.226
0.946,0.944,0.136,0.286,0.293,0.774,0.219,0.566,0.575,0.151
0.922,0.919,0.194,0.359,0.384,0.758,0.284,0.540,0.625,0.225
0.942,0.939,0.143,0.294,0.303,0.770,0.227,0.563,0.578,0.159
0.981,0.980,0.044,0.132,0.117,0.812,0.098,0.637,0.434,0.042
0.972,0.970,0.080,0.212,0.206,0.811,0.152,0.589,0.542,0.089
1.000,1.000,0.996,1.000,0.000,1.000,0.999,0.000,1.000,1.000
0.969,0.968,0.086,0.221,0.217,0.807,0.160,0.586,0.547,0.095
0.991,0.993,0.414,0.721,0.271,0.919,0.696,0.297,0.922,0.734
0.942,0.954,0.368,0.615,0.395,0.811,0.562,0.415,0.813,0.563
0.865,0.873,0.307,0.486,0.494,0.722,0.401,0.497,0.688,0.394
0.920,0.917,0.195,0.359,0.382,0.755,0.284,0.540,0.621,0.225
